pop_date,country,population
1610-01-01,usa,350
1611-01-01,usa,422
1612-01-01,usa,510
1613-01-01,usa,615
1614-01-01,usa,743
1615-01-01,usa,897
1616-01-01,usa,1083
1617-01-01,usa,1308
1618-01-01,usa,1579
1619-01-01,usa,1906
1620-01-01,usa,2302
1621-01-01,usa,2469
1622-01-01,usa,2649
1623-01-01,usa,2841
1624-01-01,usa,3048
1625-01-01,usa,3270
1626-01-01,usa,3508
1627-01-01,usa,3763
1628-01-01,usa,4037
1629-01-01,usa,4330
1630-01-01,usa,4646
1631-01-01,usa,5532
1632-01-01,usa,6587
1633-01-01,usa,7844
1634-01-01,usa,9341
1635-01-01,usa,11123
1636-01-01,usa,13246
1637-01-01,usa,15773
1638-01-01,usa,18782
1639-01-01,usa,22366
1640-01-01,usa,26634
1641-01-01,usa,28386
1642-01-01,usa,30253
1643-01-01,usa,32244
1644-01-01,usa,34365
1645-01-01,usa,36626
1646-01-01,usa,39036
1647-01-01,usa,41604
1648-01-01,usa,44341
1649-01-01,usa,47258
1650-01-01,usa,50368
1651-01-01,usa,52417
1652-01-01,usa,54551
1653-01-01,usa,56771
1654-01-01,usa,59081
1655-01-01,usa,61485
1656-01-01,usa,63988
1657-01-01,usa,66592
1658-01-01,usa,69302
1659-01-01,usa,72122
1660-01-01,usa,75058
1661-01-01,usa,78118
1662-01-01,usa,81303
1663-01-01,usa,84618
1664-01-01,usa,88069
1665-01-01,usa,91660
1666-01-01,usa,95397
1667-01-01,usa,99287
1668-01-01,usa,103336
1669-01-01,usa,107549
1670-01-01,usa,111935
1671-01-01,usa,115375
1672-01-01,usa,118921
1673-01-01,usa,122576
1674-01-01,usa,126343
1675-01-01,usa,130226
1676-01-01,usa,134228
1677-01-01,usa,138354
1678-01-01,usa,142606
1679-01-01,usa,146989
1680-01-01,usa,151507
1681-01-01,usa,156562
1682-01-01,usa,161787
1683-01-01,usa,167185
1684-01-01,usa,172764
1685-01-01,usa,178529
1686-01-01,usa,184487
1687-01-01,usa,190643
1688-01-01,usa,197004
1689-01-01,usa,203578
1690-01-01,usa,210372
1691-01-01,usa,214110
1692-01-01,usa,217914
1693-01-01,usa,221786
1694-01-01,usa,225727
1695-01-01,usa,229738
1696-01-01,usa,233820
1697-01-01,usa,237975
1698-01-01,usa,242204
1699-01-01,usa,246507
1700-01-01,usa,250888
1701-01-01,usa,257992
1702-01-01,usa,265299
1703-01-01,usa,272812
1704-01-01,usa,280538
1705-01-01,usa,288482
1706-01-01,usa,296652
1707-01-01,usa,305053
1708-01-01,usa,313692
1709-01-01,usa,322575
1710-01-01,usa,331711
1711-01-01,usa,343194
1712-01-01,usa,355074
1713-01-01,usa,367366
1714-01-01,usa,380083
1715-01-01,usa,393241
1716-01-01,usa,406854
1717-01-01,usa,420938
1718-01-01,usa,435510
1719-01-01,usa,450586
1720-01-01,usa,466185
1721-01-01,usa,480394
1722-01-01,usa,495037
1723-01-01,usa,510126
1724-01-01,usa,525675
1725-01-01,usa,541699
1726-01-01,usa,558210
1727-01-01,usa,575225
1728-01-01,usa,592758
1729-01-01,usa,610826
1730-01-01,usa,629445
1731-01-01,usa,652760
1732-01-01,usa,676939
1733-01-01,usa,702014
1734-01-01,usa,728018
1735-01-01,usa,754984
1736-01-01,usa,782950
1737-01-01,usa,811952
1738-01-01,usa,842027
1739-01-01,usa,873217
1740-01-01,usa,905563
1741-01-01,usa,929123
1742-01-01,usa,953297
1743-01-01,usa,978100
1744-01-01,usa,1003548
1745-01-01,usa,1029658
1746-01-01,usa,1056448
1747-01-01,usa,1083934
1748-01-01,usa,1112136
1749-01-01,usa,1141071
1750-01-01,usa,1170760
1751-01-01,usa,1207423
1752-01-01,usa,1245235
1753-01-01,usa,1284231
1754-01-01,usa,1324448
1755-01-01,usa,1365925
1756-01-01,usa,1408701
1757-01-01,usa,1452816
1758-01-01,usa,1498312
1759-01-01,usa,1545234
1760-01-01,usa,1593625
1761-01-01,usa,1641921
1762-01-01,usa,1691682
1763-01-01,usa,1742951
1764-01-01,usa,1795773
1765-01-01,usa,1850196
1766-01-01,usa,1906269
1767-01-01,usa,1964041
1768-01-01,usa,2023563
1769-01-01,usa,2084890
1770-01-01,usa,2148076
1771-01-01,usa,2204219
1772-01-01,usa,2261831
1773-01-01,usa,2320948
1774-01-01,usa,2381610
1775-01-01,usa,2443858
1776-01-01,usa,2507733
1777-01-01,usa,2573277
1778-01-01,usa,2640534
1779-01-01,usa,2709549
1780-01-01,usa,2780369
1781-01-01,usa,2878211
1782-01-01,usa,2979497
1783-01-01,usa,3084348
1784-01-01,usa,3192888
1785-01-01,usa,3305248
1786-01-01,usa,3421561
1787-01-01,usa,3541968
1788-01-01,usa,3666612
1789-01-01,usa,3795643
1790-01-01,usa,3929214
1791-01-01,usa,4049227
1792-01-01,usa,4172906
1793-01-01,usa,4300362
1794-01-01,usa,4431712
1795-01-01,usa,4567074
1796-01-01,usa,4706570
1797-01-01,usa,4850326
1798-01-01,usa,4998474
1799-01-01,usa,5151147
1800-01-01,usa,5308483
1801-01-01,usa,5475786
1802-01-01,usa,5648363
1803-01-01,usa,5826378
1804-01-01,usa,6010004
1805-01-01,usa,6199418
1806-01-01,usa,6394800
1807-01-01,usa,6596341
1808-01-01,usa,6804233
1809-01-01,usa,7018678
1810-01-01,usa,7239881
1811-01-01,usa,7450047
1812-01-01,usa,7666314
1813-01-01,usa,7888859
1814-01-01,usa,8117864
1815-01-01,usa,8353517
1816-01-01,usa,8596011
1817-01-01,usa,8845544
1818-01-01,usa,9102321
1819-01-01,usa,9366551
1820-01-01,usa,9638453
1821-01-01,usa,9920898
1822-01-01,usa,10211621
1823-01-01,usa,10510863
1824-01-01,usa,10818874
1825-01-01,usa,11135911
1826-01-01,usa,11462239
1827-01-01,usa,11798129
1828-01-01,usa,12143862
1829-01-01,usa,12499727
1830-01-01,usa,12866020
1831-01-01,usa,13234933
1832-01-01,usa,13614424
1833-01-01,usa,14004797
1834-01-01,usa,14406363
1835-01-01,usa,14819444
1836-01-01,usa,15244368
1837-01-01,usa,15681477
1838-01-01,usa,16131120
1839-01-01,usa,16593655
1840-01-01,usa,17069453
1841-01-01,usa,17600752
1842-01-01,usa,18148588
1843-01-01,usa,18713476
1844-01-01,usa,19295947
1845-01-01,usa,19896548
1846-01-01,usa,20515843
1847-01-01,usa,21154413
1848-01-01,usa,21812860
1849-01-01,usa,22491802
1850-01-01,usa,23191876
1851-01-01,usa,23908654
1852-01-01,usa,24647585
1853-01-01,usa,25409354
1854-01-01,usa,26194667
1855-01-01,usa,27004251
1856-01-01,usa,27838856
1857-01-01,usa,28699256
1858-01-01,usa,29586248
1859-01-01,usa,30500654
1860-01-01,usa,31443321
1861-01-01,usa,32091309
1862-01-01,usa,32752651
1863-01-01,usa,33427622
1864-01-01,usa,34116503
1865-01-01,usa,34819581
1866-01-01,usa,35537147
1867-01-01,usa,36269502
1868-01-01,usa,37016949
1869-01-01,usa,37779799
1870-01-01,usa,38558371
1871-01-01,usa,39588390
1872-01-01,usa,40645925
1873-01-01,usa,41731709
1874-01-01,usa,42846499
1875-01-01,usa,43991068
1876-01-01,usa,45166213
1877-01-01,usa,46372749
1878-01-01,usa,47611516
1879-01-01,usa,48883375
1880-01-01,usa,50189209
1881-01-01,usa,51341602
1882-01-01,usa,52520456
1883-01-01,usa,53726377
1884-01-01,usa,54959987
1885-01-01,usa,56221923
1886-01-01,usa,57512833
1887-01-01,usa,58833384
1888-01-01,usa,60184257
1889-01-01,usa,61566146
1890-01-01,usa,62979766
1891-01-01,usa,64192364
1892-01-01,usa,65428309
1893-01-01,usa,66688050
1894-01-01,usa,67972047
1895-01-01,usa,69280765
1896-01-01,usa,70614681
1897-01-01,usa,71974280
1898-01-01,usa,73360057
1899-01-01,usa,74772515
1900-01-01,usa,76212168
1901-01-01,usa,77679853
1902-01-01,usa,79175803
1903-01-01,usa,80700562
1904-01-01,usa,82254684
1905-01-01,usa,83838735
1906-01-01,usa,85453292
1907-01-01,usa,87098942
1908-01-01,usa,88776284
1909-01-01,usa,90485928
1910-01-01,usa,92228496
1911-01-01,usa,93522912
1912-01-01,usa,94835496
1913-01-01,usa,96166501
1914-01-01,usa,97516187
1915-01-01,usa,98884816
1916-01-01,usa,100272653
1917-01-01,usa,101679968
1918-01-01,usa,103107035
1919-01-01,usa,104554131
1920-01-01,usa,106021537
1921-01-01,usa,107625871
1922-01-01,usa,109254483
1923-01-01,usa,110907739
1924-01-01,usa,112586013
1925-01-01,usa,114289682
1926-01-01,usa,116019132
1927-01-01,usa,117774752
1928-01-01,usa,119556938
1929-01-01,usa,121366093
1930-01-01,usa,123202624
1931-01-01,usa,124070766
1932-01-01,usa,124945026
1933-01-01,usa,125825447
1934-01-01,usa,126712071
1935-01-01,usa,127604943
1936-01-01,usa,128504107
1937-01-01,usa,129409606
1938-01-01,usa,130321487
1939-01-01,usa,131239792
1940-01-01,usa,132164569
1941-01-01,usa,133966076
1942-01-01,usa,135792139
1943-01-01,usa,137643092
1944-01-01,usa,139519276
1945-01-01,usa,141421034
1946-01-01,usa,143348714
1947-01-01,usa,145302669
1948-01-01,usa,147283259
1949-01-01,usa,149290846
1950-01-01,usa,151325798
1951-01-01,usa,153916549
1952-01-01,usa,156551654
1953-01-01,usa,159231874
1954-01-01,usa,161957980
1955-01-01,usa,164730757
1956-01-01,usa,167551006
1957-01-01,usa,170419538
1958-01-01,usa,173337181
1959-01-01,usa,176304775
1960-01-01,usa,179323175
1961-01-01,usa,181579868
1962-01-01,usa,183864961
1963-01-01,usa,186178810
1964-01-01,usa,188521778
1965-01-01,usa,190894231
1966-01-01,usa,193296541
1967-01-01,usa,195729082
1968-01-01,usa,198192236
1969-01-01,usa,200686387
1970-01-01,usa,203211926
1971-01-01,usa,205432842
1972-01-01,usa,207678031
1973-01-01,usa,209947758
1974-01-01,usa,212242291
1975-01-01,usa,214561901
1976-01-01,usa,216906862
1977-01-01,usa,219277451
1978-01-01,usa,221673949
1979-01-01,usa,224096638
1980-01-01,usa,226545805
1981-01-01,usa,228670280
1982-01-01,usa,230814678
1983-01-01,usa,232979186
1984-01-01,usa,235163992
1985-01-01,usa,237369286
1986-01-01,usa,239595261
1987-01-01,usa,241842111
1988-01-01,usa,244110030
1989-01-01,usa,246399218
1990-01-01,usa,248709873
1991-01-01,usa,251802195
1992-01-01,usa,254932967
1993-01-01,usa,258102664
1994-01-01,usa,261311772
1995-01-01,usa,264560780
1996-01-01,usa,267850184
1997-01-01,usa,271180487
1998-01-01,usa,274552198
1999-01-01,usa,277965830
2000-01-01,usa,281421906
2001-01-01,usa,284041749
2002-01-01,usa,286685982
2003-01-01,usa,289354830
2004-01-01,usa,292048524
2005-01-01,usa,294767294
2006-01-01,usa,297511374
2007-01-01,usa,300280999
2008-01-01,usa,303076408
2009-01-01,usa,305897840
2010-01-01,usa,308745538
2011-01-01,usa,310944105
2012-01-01,usa,313158329
2013-01-01,usa,315388321
2014-01-01,usa,317634192
2015-01-01,usa,319896055
2016-01-01,usa,322174026
2017-01-01,usa,324468218
2018-01-01,usa,326778746
2019-01-01,usa,329105728
2020-01-01,usa,331449281
2021-01-01,usa,333809521
2022-01-01,usa,336186569
2023-01-01,usa,338580544
2024-01-01,usa,340991566
2025-01-01,usa,343419757
2026-01-01,usa,345865239
2027-01-01,usa,348328135
2028-01-01,usa,350808570
2029-01-01,usa,353306667
1600-01-01,wld,579000000
1601-01-01,wld,579000000
1602-01-01,wld,579000000
1603-01-01,wld,579000000
1604-01-01,wld,579000000
1605-01-01,wld,579000000
1606-01-01,wld,579000000
1607-01-01,wld,579000000
1608-01-01,wld,579000000
1609-01-01,wld,579000000
1610-01-01,wld,579000000
1611-01-01,wld,579000000
1612-01-01,wld,579000000
1613-01-01,wld,579000000
1614-01-01,wld,579000000
1615-01-01,wld,579000000
1616-01-01,wld,579000000
1617-01-01,wld,579000000
1618-01-01,wld,579000000
1619-01-01,wld,579000000
1620-01-01,wld,579000000
1621-01-01,wld,579000000
1622-01-01,wld,579000000
1623-01-01,wld,579000000
1624-01-01,wld,579000000
1625-01-01,wld,579000000
1626-01-01,wld,579000000
1627-01-01,wld,579000000
1628-01-01,wld,579000000
1629-01-01,wld,579000000
1630-01-01,wld,579000000
1631-01-01,wld,579000000
1632-01-01,wld,579000000
1633-01-01,wld,579000000
1634-01-01,wld,579000000
1635-01-01,wld,579000000
1636-01-01,wld,579000000
1637-01-01,wld,579000000
1638-01-01,wld,579000000
1639-01-01,wld,579000000
1640-01-01,wld,579000000
1641-01-01,wld,579000000
1642-01-01,wld,579000000
1643-01-01,wld,579000000
1644-01-01,wld,579000000
1645-01-01,wld,579000000
1646-01-01,wld,579000000
1647-01-01,wld,579000000
1648-01-01,wld,579000000
1649-01-01,wld,579000000
1650-01-01,wld,579000000
1651-01-01,wld,580847852
1652-01-01,wld,582701602
1653-01-01,wld,584561267
1654-01-01,wld,586426868
1655-01-01,wld,588298423
1656-01-01,wld,590175951
1657-01-01,wld,592059471
1658-01-01,wld,593949002
1659-01-01,wld,595844564
1660-01-01,wld,597746175
1661-01-01,wld,599653855
1662-01-01,wld,601567623
1663-01-01,wld,603487499
1664-01-01,wld,605413502
1665-01-01,wld,607345652
1666-01-01,wld,609283968
1667-01-01,wld,611228470
1668-01-01,wld,613179178
1669-01-01,wld,615136112
1670-01-01,wld,617099291
1671-01-01,wld,619068736
1672-01-01,wld,621044466
1673-01-01,wld,623026501
1674-01-01,wld,625014862
1675-01-01,wld,627009569
1676-01-01,wld,629010642
1677-01-01,wld,631018101
1678-01-01,wld,633031966
1679-01-01,wld,635052259
1680-01-01,wld,637079000
1681-01-01,wld,639112209
1682-01-01,wld,641151907
1683-01-01,wld,643198114
1684-01-01,wld,645250852
1685-01-01,wld,647310141
1686-01-01,wld,649376002
1687-01-01,wld,651448456
1688-01-01,wld,653527525
1689-01-01,wld,655613228
1690-01-01,wld,657705588
1691-01-01,wld,659804626
1692-01-01,wld,661910363
1693-01-01,wld,664022820
1694-01-01,wld,666142019
1695-01-01,wld,668267981
1696-01-01,wld,670400728
1697-01-01,wld,672540281
1698-01-01,wld,674686663
1699-01-01,wld,676839896
1700-01-01,wld,679000000
1701-01-01,wld,680710098
1702-01-01,wld,682424503
1703-01-01,wld,684143226
1704-01-01,wld,685866277
1705-01-01,wld,687593669
1706-01-01,wld,689325410
1707-01-01,wld,691061514
1708-01-01,wld,692801989
1709-01-01,wld,694546849
1710-01-01,wld,696296102
1711-01-01,wld,698049762
1712-01-01,wld,699807838
1713-01-01,wld,701570342
1714-01-01,wld,703337284
1715-01-01,wld,705108677
1716-01-01,wld,706884532
1717-01-01,wld,708664858
1718-01-01,wld,710449669
1719-01-01,wld,712238975
1720-01-01,wld,714032787
1721-01-01,wld,715831117
1722-01-01,wld,717633977
1723-01-01,wld,719441377
1724-01-01,wld,721253329
1725-01-01,wld,723069844
1726-01-01,wld,724890934
1727-01-01,wld,726716611
1728-01-01,wld,728546886
1729-01-01,wld,730381771
1730-01-01,wld,732221277
1731-01-01,wld,734065416
1732-01-01,wld,735914199
1733-01-01,wld,737767639
1734-01-01,wld,739625746
1735-01-01,wld,741488534
1736-01-01,wld,743356013
1737-01-01,wld,745228195
1738-01-01,wld,747105092
1739-01-01,wld,748986717
1740-01-01,wld,750873080
1741-01-01,wld,752764195
1742-01-01,wld,754660072
1743-01-01,wld,756560724
1744-01-01,wld,758466163
1745-01-01,wld,760376401
1746-01-01,wld,762291450
1747-01-01,wld,764211322
1748-01-01,wld,766136030
1749-01-01,wld,768065585
1750-01-01,wld,770000000
1751-01-01,wld,773189153
1752-01-01,wld,776391515
1753-01-01,wld,779607140
1754-01-01,wld,782836084
1755-01-01,wld,786078401
1756-01-01,wld,789334147
1757-01-01,wld,792603378
1758-01-01,wld,795886149
1759-01-01,wld,799182516
1760-01-01,wld,802492536
1761-01-01,wld,805816266
1762-01-01,wld,809153761
1763-01-01,wld,812505080
1764-01-01,wld,815870279
1765-01-01,wld,819249416
1766-01-01,wld,822642548
1767-01-01,wld,826049734
1768-01-01,wld,829471032
1769-01-01,wld,832906500
1770-01-01,wld,836356196
1771-01-01,wld,839820181
1772-01-01,wld,843298513
1773-01-01,wld,846791251
1774-01-01,wld,850298455
1775-01-01,wld,853820185
1776-01-01,wld,857356501
1777-01-01,wld,860907463
1778-01-01,wld,864473133
1779-01-01,wld,868053571
1780-01-01,wld,871648839
1781-01-01,wld,875258997
1782-01-01,wld,878884107
1783-01-01,wld,882524232
1784-01-01,wld,886179434
1785-01-01,wld,889849774
1786-01-01,wld,893535316
1787-01-01,wld,897236122
1788-01-01,wld,900952257
1789-01-01,wld,904683783
1790-01-01,wld,908430763
1791-01-01,wld,912193263
1792-01-01,wld,915971347
1793-01-01,wld,919765078
1794-01-01,wld,923574522
1795-01-01,wld,927399743
1796-01-01,wld,931240808
1797-01-01,wld,935097782
1798-01-01,wld,938970730
1799-01-01,wld,942859719
1800-01-01,wld,946764816
1801-01-01,wld,950949353
1802-01-01,wld,955168653
1803-01-01,wld,959430074
1804-01-01,wld,963726376
1805-01-01,wld,968055764
1806-01-01,wld,972415942
1807-01-01,wld,976803344
1808-01-01,wld,981217619
1809-01-01,wld,985651328
1810-01-01,wld,990878743
1811-01-01,wld,995532712
1812-01-01,wld,1000325622
1813-01-01,wld,1005258096
1814-01-01,wld,1010330551
1815-01-01,wld,1015543754
1816-01-01,wld,1020894893
1817-01-01,wld,1026382528
1818-01-01,wld,1032007127
1819-01-01,wld,1037768027
1820-01-01,wld,1043665953
1821-01-01,wld,1049578199
1822-01-01,wld,1055501042
1823-01-01,wld,1061433251
1824-01-01,wld,1067371418
1825-01-01,wld,1073327186
1826-01-01,wld,1079295963
1827-01-01,wld,1085279041
1828-01-01,wld,1091276456
1829-01-01,wld,1097289754
1830-01-01,wld,1103319619
1831-01-01,wld,1109359147
1832-01-01,wld,1115305848
1833-01-01,wld,1121155292
1834-01-01,wld,1126910232
1835-01-01,wld,1132570731
1836-01-01,wld,1138131046
1837-01-01,wld,1143567112
1838-01-01,wld,1148861698
1839-01-01,wld,1154029950
1840-01-01,wld,1159081245
1841-01-01,wld,1163860076
1842-01-01,wld,1168506024
1843-01-01,wld,1173023503
1844-01-01,wld,1177405612
1845-01-01,wld,1181662684
1846-01-01,wld,1185785360
1847-01-01,wld,1189782535
1848-01-01,wld,1193656420
1849-01-01,wld,1197409812
1850-01-01,wld,1201046477
1851-01-01,wld,1204690104
1852-01-01,wld,1208289011
1853-01-01,wld,1211849186
1854-01-01,wld,1215376007
1855-01-01,wld,1218865074
1856-01-01,wld,1222303872
1857-01-01,wld,1225698995
1858-01-01,wld,1229069347
1859-01-01,wld,1232462561
1860-01-01,wld,1235823848
1861-01-01,wld,1239298522
1862-01-01,wld,1243090554
1863-01-01,wld,1247200540
1864-01-01,wld,1251626549
1865-01-01,wld,1256371045
1866-01-01,wld,1261442305
1867-01-01,wld,1266846732
1868-01-01,wld,1272568969
1869-01-01,wld,1278611042
1870-01-01,wld,1284973533
1871-01-01,wld,1291656523
1872-01-01,wld,1298586261
1873-01-01,wld,1304594045
1874-01-01,wld,1312082253
1875-01-01,wld,1319860814
1876-01-01,wld,1327947476
1877-01-01,wld,1335575341
1878-01-01,wld,1344425842
1879-01-01,wld,1353630213
1880-01-01,wld,1363008988
1881-01-01,wld,1372224447
1882-01-01,wld,1381822065
1883-01-01,wld,1391557269
1884-01-01,wld,1401119578
1885-01-01,wld,1411074415
1886-01-01,wld,1421182605
1887-01-01,wld,1431126454
1888-01-01,wld,1441482567
1889-01-01,wld,1452012369
1890-01-01,wld,1462720390
1891-01-01,wld,1473594907
1892-01-01,wld,1484687593
1893-01-01,wld,1496014494
1894-01-01,wld,1507556235
1895-01-01,wld,1519300926
1896-01-01,wld,1531271629
1897-01-01,wld,1543481820
1898-01-01,wld,1555891052
1899-01-01,wld,1568552138
1900-01-01,wld,1581392317
1901-01-01,wld,1594393129
1902-01-01,wld,1607315600
1903-01-01,wld,1620637298
1904-01-01,wld,1634141038
1905-01-01,wld,1647854013
1906-01-01,wld,1661715903
1907-01-01,wld,1675259380
1908-01-01,wld,1689400127
1909-01-01,wld,1704163072
1910-01-01,wld,1719394914
1911-01-01,wld,1734741452
1912-01-01,wld,1751304099
1913-01-01,wld,1768064175
1914-01-01,wld,1784378253
1915-01-01,wld,1799897021
1916-01-01,wld,1814200438
1917-01-01,wld,1827734351
1918-01-01,wld,1839399245
1919-01-01,wld,1852166384
1920-01-01,wld,1866084685
1921-01-01,wld,1882312765
1922-01-01,wld,1898529832
1923-01-01,wld,1915168411
1924-01-01,wld,1932075515
1925-01-01,wld,1948955686
1926-01-01,wld,1965695370
1927-01-01,wld,1982536027
1928-01-01,wld,1999311865
1929-01-01,wld,2017045912
1930-01-01,wld,2036276009
1931-01-01,wld,2057237433
1932-01-01,wld,2078921219
1933-01-01,wld,2100443072
1934-01-01,wld,2121899804
1935-01-01,wld,2143194324
1936-01-01,wld,2164788903
1937-01-01,wld,2186533749
1938-01-01,wld,2208795641
1939-01-01,wld,2230495015
1940-01-01,wld,2251629928
1941-01-01,wld,2272378421
1942-01-01,wld,2293453664
1943-01-01,wld,2314816524
1944-01-01,wld,2334719398
1945-01-01,wld,2355292551
1946-01-01,wld,2378793750
1947-01-01,wld,2406793627
1948-01-01,wld,2437585102
1949-01-01,wld,2477244597
1950-01-01,wld,2522795097
1951-01-01,wld,2569951208
1952-01-01,wld,2616316758
1953-01-01,wld,2662543504
1954-01-01,wld,2709178365
1955-01-01,wld,2756662517
1956-01-01,wld,2805328910
1957-01-01,wld,2855404933
1958-01-01,wld,2907023467
1959-01-01,wld,2960240049
1960-01-01,wld,3015085838
1961-01-01,wld,3071623124
1962-01-01,wld,3129995156
1963-01-01,wld,3190446183
1964-01-01,wld,3253262811
1965-01-01,wld,3318598296
1966-01-01,wld,3386535759
1967-01-01,wld,3456874782
1968-01-01,wld,3529117645
1969-01-01,wld,3602582433
1970-01-01,wld,3676727865
1971-01-01,wld,3751454788
1972-01-01,wld,3826757615
1973-01-01,wld,3902316828
1974-01-01,wld,3977783768
1975-01-01,wld,4052954392
1976-01-01,wld,4127653812
1977-01-01,wld,4202040817
1978-01-01,wld,4276676636
1979-01-01,wld,4352350393
1980-01-01,wld,4429660149
1981-01-01,wld,4508601232
1982-01-01,wld,4589057229
1983-01-01,wld,4671352595
1984-01-01,wld,4755854655
1985-01-01,wld,4842705541
1986-01-01,wld,4932112905
1987-01-01,wld,5023677382
1988-01-01,wld,5116168638
1989-01-01,wld,5207930480
1990-01-01,wld,5297738844
1991-01-01,wld,5385171977
1992-01-01,wld,5470448447
1993-01-01,wld,5553789455
1994-01-01,wld,5635670131
1995-01-01,wld,5716485992
1996-01-01,wld,5796242146
1997-01-01,wld,5874914801
1998-01-01,wld,5952873494
1999-01-01,wld,6030583814
2000-01-01,wld,6108424718
2001-01-01,wld,6186543057
2002-01-01,wld,6265005402
2003-01-01,wld,6344003287
2004-01-01,wld,6423719971
2005-01-01,wld,6504280993
2006-01-01,wld,6585760192
2007-01-01,wld,6668138074
2008-01-01,wld,6751310827
2009-01-01,wld,6835108522
2010-01-01,wld,6919368228
2011-01-01,wld,7004042402
2012-01-01,wld,7089048309
2013-01-01,wld,7174135279
2014-01-01,wld,7258995892
2015-01-01,wld,7343380299
2016-01-01,wld,7427157079
2017-01-01,wld,7510270208
2018-01-01,wld,7592641463
2019-01-01,wld,7674218669
2020-01-01,wld,7754954225
2021-01-01,wld,7834779420
2022-01-01,wld,7913638043
2023-01-01,wld,7991520040
2024-01-01,wld,8068434258
2025-01-01,wld,8144386957
